Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2019-12-31T23:00:00Z,7200.52000000,7206.29000000,7185.76000000,7195.23000000,521.97839700,2019-12-31T23:59:59.999Z,3755763.59960018,6659,224.07567800,1612342.84481437,0
2020-01-01T00:00:00Z,7195.24000000,7196.25000000,7175.46000000,7177.02000000,511.81490100,2020-01-01T00:59:59.999Z,3675856.57948543,7640,226.15312600,1624289.18965037,0
2020-01-01T01:00:00Z,7176.47000000,7230.00000000,7175.71000000,7216.27000000,883.05260300,2020-01-01T01:59:59.999Z,6365952.54111276,9033,570.72141900,4114804.04969093,0
2020-01-01T02:00:00Z,7215.52000000,7244.87000000,7211.41000000,7242.85000000,655.15680900,2020-01-01T02:59:59.999Z,4736719.38819138,7466,357.18026300,2582513.82508776,0
2020-01-01T03:00:00Z,7242.66000000,7245.00000000,7220.00000000,7225.01000000,783.72486700,2020-01-01T03:59:59.999Z,5667367.29300603,8337,394.81081100,2854987.35529137,0
2020-01-01T04:00:00Z,7225.00000000,7230.00000000,7215.03000000,7217.27000000,467.81257800,2020-01-01T04:59:59.999Z,3379093.84979077,5896,243.51470600,1759053.44836794,0
2020-01-01T05:00:00Z,7217.26000000,7229.76000000,7216.65000000,7224.21000000,344.67059600,2020-01-01T05:59:59.999Z,2489507.24663728,6529,194.89852500,1407859.39772595,0
2020-01-01T06:00:00Z,7224.24000000,7236.27000000,7221.51000000,7225.62000000,621.46702300,2020-01-01T06:59:59.999Z,4493048.24570801,9718,288.40033000,2085093.09034902,0
2020-01-01T07:00:00Z,7225.88000000,7232.94000000,7199.11000000,7209.83000000,627.34485400,2020-01-01T07:59:59.999Z,4528532.93295699,7848,322.89767500,2330844.43949271,0
2020-01-01T08:00:00Z,7209.83000000,7210.00000000,7180.00000000,7200.64000000,915.54597400,2020-01-01T08:59:59.999Z,6584766.36902302,8847,440.88746400,3171436.98880032,0
2020-01-01T09:00:00Z,7200.29000000,7210.51000000,7188.00000000,7188.77000000,636.38610200,2020-01-01T09:59:59.999Z,4580279.61372286,7177,287.51833300,2069473.90367405,0
2020-01-01T10:00:00Z,7189.07000000,7210.00000000,7185.20000000,7202.00000000,537.76280400,2020-01-01T10:59:59.999Z,3872434.23941144,6417,288.27848100,2075906.26940430,0
2020-01-01T11:00:00Z,7202.01000000,7237.73000000,7188.61000000,7197.20000000,1076.95948100,2020-01-01T11:59:59.999Z,7769838.36840155,11066,545.66003600,3936878.73439429,0
